state,ws,wd,ti,mol,weight
1758,6.31,133.6,0.017,1341.5,2.8198517785478e-05
1759,19.37,185.9,0.055,-1084.7,7.93242298149488e-05
1760,15.3,216.9,0.151,-256.5,0.0001533818004469
1761,20.59,257.3,0.154,,4.153424103357992e-06
1762,8.64,305.8,0.152,-1716.4,6.584540417872841e-05
1763,13.18,83.1,0.022,,2.0450980340215e-05
1764,12.44,217.4,0.077,,5.736287608167088e-05
1765,20.66,118.3,0.02,-1011.3,1.2499478574721592e-05
1766,19.25,303.2,0.017,188.3,8.174156146962705e-05
1767,6.66,179.3,0.084,-1869.4,0.0001523361237406
1768,23.66,286.8,0.043,-1270.2,0.0001556458158949
1769,21.98,98.6,0.082,821.6,8.859755472421081e-05
1770,22.8,248.3,0.076,,0.0001319299966385
1771,9.58,138.3,0.034,1443.3,4.250066156722309e-06
1772,22.99,154.8,0.066,896.5,0.0001522226303171
1773,13.29,295.6,0.15,-1027.7,8.407050827780807e-05
1774,19.01,127.8,0.082,-1003.6,9.83675353375504e-05
1775,21.77,307.4,0.13,-274.5,6.415646726730533e-05
1776,24.74,341.4,0.038,181.3,3.333688194297136e-05
1777,9.21,33.3,0.142,,0.0001566858066484
1778,7.9,93.8,0.034,1324.3,3.1877832130675324e-06
1779,5.97,344.1,0.091,879.3,0.0001488191331214
1780,5.29,350.1,0.072,1900.9,3.829236395007045e-06
1781,21.89,266.7,0.076,492.9,0.000101666463928
1782,19.42,132.4,0.027,,0.0001564918407686
1783,14.59,320.1,0.053,776.3,4.414007031730362e-05
1784,13.0,262.5,0.116,-213.1,7.93874294215084e-05
1785,20.96,60.1,0.127,617.9,4.193021133930176e-05
1786,23.39,285.8,0.101,1534.2,0.0001646381039349
1787,11.67,316.7,0.104,-540.4,0.0001545805317864
1788,22.48,35.6,0.142,-1267.1,0.000107773844513
1789,7.57,98.6,0.024,-930.6,0.0001286684372394
1790,13.46,8.0,0.083,-1127.9,6.134713896336413e-05
1791,20.07,76.7,0.179,1553.3,0.0001191648077133
1792,19.8,200.4,0.07,1812.0,0.0001208682739891
1793,22.88,136.4,0.058,548.2,0.0001403188006977
1794,19.87,129.1,0.091,-1634.4,4.0604764608590567e-05
1795,16.51,12.7,0.169,-1042.2,3.9167113435230826e-05
1796,22.59,186.0,0.05,-756.0,2.841258642717164e-06
1797,22.3,334.3,0.124,1632.6,2.953699139716588e-05
1798,24.34,268.0,0.069,-1138.1,0.0001618474231045
1799,5.39,16.0,0.027,,0.0001414709152193
1800,19.44,11.7,0.127,341.2,9.873473768390278e-05
1801,15.96,35.5,0.058,-490.9,0.0001216156096078
1802,19.84,212.0,0.083,,0.0001352146924343
1803,9.1,68.5,0.131,-757.7,2.807031800516873e-05
1804,23.23,99.4,0.128,,0.0001071439083845
1805,5.55,303.3,0.084,,4.038178727638211e-05
1806,19.07,30.8,0.122,-1849.3,7.200543266236726e-05
1807,7.15,200.4,0.136,,7.825184082448399e-05
1808,11.0,137.4,0.069,-130.4,8.309395790709769e-05
1809,14.05,232.1,0.136,1781.4,0.0001383454229702
1810,17.33,328.1,0.011,1022.9,3.4249170706013104e-05
1811,21.05,105.5,0.113,584.8,3.2544658190859866e-05
1812,6.08,271.6,0.047,-895.0,0.0001176304705644
1813,23.57,185.4,0.152,,0.0001542879517173
1814,13.77,152.9,0.129,-615.4,3.214340889088159e-05
1815,9.55,64.4,0.044,,3.0443527078686828e-05
1816,14.39,257.2,0.079,,0.0001557792514326
1817,24.71,192.4,0.119,-950.1,0.000163140155728
1818,11.11,123.6,0.098,,0.0001154653746978
1819,12.45,83.6,0.038,876.7,9.40390163659567e-05
1820,6.35,43.3,0.126,780.7,7.499817522748006e-05
1821,20.58,18.6,0.092,-1708.5,8.198183375658795e-05
1822,5.14,197.4,0.102,286.2,0.0001260018487768
1823,18.91,202.3,0.176,-1038.1,1.0454695872576035e-05
1824,16.18,113.4,0.014,1091.2,0.0001592710064262
1825,5.91,323.0,0.058,564.9,0.0001047873166156
1826,5.62,241.1,0.126,,3.896405880161161e-05
1827,8.16,115.7,0.155,-1000.2,9.220625747347786e-05
1828,8.58,262.5,0.132,-1534.3,0.0001173600717019
1829,7.57,348.9,0.062,,0.0001616598547871
1830,10.51,236.1,0.17,,1.0480766191479624e-05
1831,8.25,137.3,0.032,-831.7,6.09893276923965e-05
1832,8.19,227.4,0.134,-447.4,0.0001083422913903
1833,9.26,122.7,0.173,237.3,0.0001350408022265
1834,18.96,205.3,0.152,,6.156598350457388e-05
1835,24.18,216.7,0.041,-1809.9,5.890488025611037e-05
1836,10.61,212.2,0.098,1161.9,0.0001011002622249
1837,13.8,261.2,0.076,,0.0001611643909206
1838,11.68,262.9,0.072,1306.0,0.0001095979544334
1839,10.15,239.5,0.121,-1559.9,0.0001542952215603
1840,16.98,121.2,0.152,438.9,6.286481063594686e-07
1841,10.19,198.6,0.05,1825.2,7.453971475873709e-05
1842,11.31,170.2,0.17,-1500.8,0.0001615442979904
1843,14.09,61.0,0.019,-509.3,0.0001469188897983
1844,15.36,40.5,0.18,1925.2,1.17056492140028e-05
1845,13.3,110.2,0.057,-1745.4,0.0001143793583729
1846,8.41,261.8,0.126,-1060.2,0.0001223645697926
1847,10.02,285.5,0.057,-1405.4,0.0001621687135815
1848,12.66,171.2,0.053,-364.1,5.324113628184282e-05
1849,8.22,327.0,0.049,,7.287814045910068e-05
1850,21.9,344.9,0.18,166.4,0.0001300540252045
1851,11.88,308.9,0.16,-433.8,0.0001669519474114
1852,17.96,312.3,0.171,,0.0001174044140124
1853,9.11,93.6,0.174,1928.0,0.0001586816780011
1854,21.91,103.7,0.155,-1935.8,2.371626077107198e-05
1855,22.5,243.6,0.128,775.6,0.0001266824579974
1856,18.43,245.3,0.077,862.3,9.25339589922005e-05
1857,18.06,23.9,0.072,,0.0001063766807118
1858,13.1,37.8,0.109,,0.0001130405104764
1859,12.24,255.3,0.127,,8.816299117207305e-05
1860,24.33,182.7,0.074,1557.5,0.0001519212832104
1861,5.79,300.4,0.084,-750.8,4.696459517337747e-05
1862,13.37,23.7,0.108,-1331.8,3.4140140273829866e-05
1863,22.71,33.5,0.02,,1.032077392769847e-05
1864,19.43,160.4,0.131,-1484.3,5.373502719646237e-05
1865,5.11,265.8,0.029,-1331.4,0.0001023115847467
1866,9.0,80.4,0.17,-314.3,0.0001315049017686
1867,15.26,260.5,0.127,1677.6,5.0194069383404005e-05
1868,7.1,233.8,0.177,,0.0001489139821656
1869,21.68,358.2,0.085,-885.3,0.0001226916158218
1870,6.05,270.4,0.139,725.0,0.0001187444944771
1871,12.27,55.5,0.095,,0.0001638270296371
1872,10.19,228.2,0.131,,7.032752279486811e-05
1873,6.6,170.1,0.027,,3.715633977720643e-05
1874,5.38,154.0,0.179,1369.7,0.0001327743810904
1875,15.5,254.9,0.154,-1811.4,8.672129554976421e-05
1876,21.37,46.1,0.067,,8.360679497992951e-05
1877,7.1,49.6,0.109,,1.5801777413417817e-05
1878,23.51,81.3,0.177,885.7,8.192674254886425e-05
1879,15.09,316.4,0.144,-1281.9,0.0001002643082228
1880,15.0,193.9,0.17,-1756.6,0.0001230084312175
1881,13.06,295.1,0.16,1804.9,6.680904666438541e-05
1882,23.46,241.0,0.175,-1190.9,1.8803454265759885e-05
1883,8.21,226.6,0.02,-351.1,9.904118576614112e-05
1884,8.32,59.3,0.131,264.8,0.0001117471299841
1885,22.43,345.4,0.11,721.1,0.0001189078530077
1886,15.11,339.9,0.018,-1132.2,8.782665563341094e-06
1887,16.45,241.0,0.078,256.5,5.9621923751254834e-05
1888,21.62,353.4,0.17,,8.90890793260416e-05
1889,21.04,109.4,0.023,-624.6,7.941822794233461e-05
1890,16.19,352.6,0.074,,1.2809039302508286e-06
1891,18.67,265.0,0.142,917.3,9.73800977581224e-05
1892,17.9,15.8,0.134,713.2,0.000140608642111
1893,8.66,270.6,0.139,,0.0001171401674593
1894,22.94,277.5,0.115,,0.0001189829580415
1895,16.13,11.1,0.081,,0.0001119162051312
1896,23.21,30.0,0.031,-941.2,9.03200611863762e-05
1897,12.96,124.8,0.086,269.2,0.000159555853011
1898,21.4,79.7,0.145,-570.7,0.0001095454855764
1899,23.22,190.2,0.065,,5.303152272437144e-05
1900,7.81,330.4,0.096,,3.854496060620074e-05
1901,7.84,63.0,0.169,-882.6,0.0001343165186166
1902,20.47,0.7,0.088,,0.0001263359018262
1903,17.76,183.7,0.048,869.4,0.0001123322137028
1904,22.05,157.1,0.12,1851.9,0.0001459997775605
1905,24.68,292.8,0.022,-1683.4,8.17220434846977e-05
1906,11.52,297.3,0.084,-147.7,5.6495320310278254e-05
1907,11.66,172.2,0.103,,0.0001439025910696
1908,7.9,20.2,0.056,1699.3,1.0791462065492565e-05
1909,12.29,73.2,0.149,-1996.3,4.5873385326643226e-05
1910,14.41,141.5,0.154,-912.7,0.0001542894080586
1911,20.93,113.0,0.094,-1949.3,9.738970827201231e-05
1912,16.85,164.6,0.067,,0.0001651080058447
1913,12.88,161.8,0.124,-1817.2,1.0872497512177713e-05
1914,23.8,188.3,0.149,,0.0001278388391665
1915,9.48,124.0,0.071,-1653.9,3.437777074204024e-05
1916,5.56,181.9,0.082,-1247.6,9.940156070923193e-05
1917,16.26,95.4,0.019,-1639.0,0.0001539988736602
1918,22.98,283.8,0.07,,5.211815934521564e-05
1919,8.4,38.5,0.143,,7.593865347060628e-05
1920,5.35,271.6,0.176,-1933.3,0.0001505153010203
1921,19.98,124.5,0.105,936.2,6.855336793704767e-05
1922,23.25,21.4,0.041,-508.4,9.864631950455824e-05
1923,10.91,356.4,0.057,619.1,6.864221923306578e-05
1924,12.77,28.7,0.163,-1394.7,0.0001039894385177
1925,13.73,289.5,0.053,,1.3773296913561224e-05
1926,23.99,159.5,0.1,,6.741181643483007e-05
1927,6.91,164.6,0.084,-1320.6,1.5467570565539608e-05
1928,12.27,145.8,0.172,750.6,1.794464157153072e-05
1929,18.11,302.2,0.138,-566.1,0.0001591438185221
1930,23.6,253.9,0.125,1235.6,9.702947607934178e-05
1931,22.72,190.5,0.063,1418.4,9.679532829476512e-05
1932,24.3,302.9,0.17,-1949.5,0.0001361481773048
1933,15.48,127.4,0.167,948.2,0.0001063959810123
1934,17.56,159.4,0.022,,0.000152961225739
1935,15.48,98.9,0.087,1269.9,5.598278881352795e-05
1936,17.44,220.0,0.106,,0.0001135567857512
1937,15.68,138.4,0.069,,1.1870442114178848e-05
1938,11.8,330.7,0.143,,0.0001617768263916
1939,16.04,257.9,0.113,,0.0001001384115921
1940,23.9,198.9,0.121,,0.0001224484590286
1941,14.4,193.0,0.14,1319.2,3.5550801275210506e-05
1942,5.4,24.4,0.071,-499.3,0.0001073164427873
1943,16.24,340.2,0.146,1070.7,0.0001250119266116
1944,11.6,342.0,0.17,818.3,0.0001200614664395
1945,24.87,74.7,0.125,,7.149751179003664e-05
1946,17.13,148.4,0.111,1907.8,8.065887640602405e-06
1947,16.16,260.1,0.069,1920.3,0.0001395621362563
1948,12.91,266.6,0.051,1578.6,6.469203170727963e-05
1949,8.02,131.3,0.052,1153.3,7.831724220900576e-05
1950,12.32,173.1,0.027,-1418.8,8.840123193808934e-05
1951,10.53,33.3,0.073,,1.3283631373683664e-05
1952,8.88,23.3,0.134,,9.05882797276936e-05
1953,9.44,305.9,0.011,229.5,1.7592756180831405e-05
1954,18.34,44.0,0.057,-545.1,4.263820117914205e-05
1955,11.21,113.3,0.086,1334.3,0.0001038789530798
1956,21.82,358.7,0.053,703.7,0.0001236856494269
1957,7.41,101.7,0.171,1790.8,0.0001251885509366
1958,17.35,317.7,0.027,-1659.3,0.0001362317894616
1959,14.14,313.5,0.104,194.6,0.0001501827975699
1960,23.85,344.4,0.051,1088.4,0.0001046232217964
1961,23.66,4.0,0.06,1645.1,0.0001530877237457
1962,20.24,90.2,0.089,,3.988712469460282e-05
1963,18.72,357.7,0.06,-830.4,0.0001130755318866
1964,8.28,103.4,0.024,-1551.2,6.82883261368265e-05
1965,11.01,200.8,0.173,153.3,1.5306925516543797e-05
1966,15.54,139.7,0.155,,0.000102456016314
1967,13.02,192.0,0.038,1532.7,3.033514569938647e-05
1968,5.59,278.4,0.128,1618.9,0.0001521642334577
1969,17.3,20.4,0.064,-807.2,0.0001406250783768
1970,10.77,5.5,0.153,551.3,0.0001103530060712
1971,8.76,181.2,0.117,,2.969997738338536e-05
1972,13.69,325.4,0.158,,9.628298036275606e-05
1973,23.39,342.9,0.144,,0.0001624162182223
1974,22.55,71.0,0.039,-592.6,3.294434348960329e-05
1975,12.39,146.3,0.169,1481.8,0.0001259220577724
1976,13.14,45.8,0.127,-1860.6,4.05899847934451e-05
1977,13.67,54.0,0.132,655.3,5.556722286343347e-05
1978,13.76,77.9,0.097,,0.000104689011963
1979,5.12,0.1,0.156,1968.7,0.000141171584507
1980,19.9,319.8,0.05,-1106.7,0.0001392541383576
1981,8.75,165.9,0.072,-267.1,1.346996325479584e-06
1982,20.84,57.8,0.046,,6.343656252773569e-05
1983,8.02,57.5,0.037,,0.0001612611451596
1984,5.86,4.1,0.018,1877.7,7.654975894515314e-05
1985,10.98,58.2,0.153,-1084.4,1.4099898652819334e-05
1986,10.48,215.7,0.101,-1137.2,8.206555359407948e-05
1987,10.22,158.0,0.089,,3.99399062652252e-05
1988,16.48,336.8,0.144,,8.82128434812013e-05
1989,8.64,187.8,0.086,-1014.7,1.9784378004080293e-05
1990,15.07,70.7,0.158,1586.7,9.187117817956484e-05
1991,9.57,48.5,0.138,735.1,0.0001400576875995
1992,6.05,221.6,0.143,,0.0001479626458754
1993,13.55,182.0,0.114,-938.4,2.032919218409372e-05
1994,16.34,296.8,0.112,1801.6,0.0001450534871604
1995,9.27,270.9,0.036,,3.380137212618064e-05
1996,19.28,359.9,0.074,554.3,5.272820566635033e-05
1997,23.7,286.2,0.047,1795.8,9.609279542634494e-05
1998,14.34,275.1,0.153,1754.8,1.8493809530601835e-05
1999,18.38,306.7,0.098,,6.318337244185642e-05
2000,19.33,3.8,0.021,1121.2,1.406824748546274e-05
2001,6.6,323.9,0.083,-767.7,0.0001162565867081
2002,20.12,298.0,0.144,567.4,0.0001482899507921
2003,24.6,336.5,0.173,-855.6,0.0001218524521828
2004,9.03,234.2,0.059,677.6,2.943822267996682e-05
2005,22.42,114.3,0.106,1345.0,6.898391167771864e-05
2006,14.43,56.5,0.096,,7.222501208267401e-05
2007,11.04,77.3,0.112,-1426.7,7.627080507217468e-05
2008,23.03,310.1,0.082,1974.7,5.933338483157353e-05
2009,7.33,94.8,0.038,-157.6,0.0001500978916178
2010,16.07,144.7,0.133,,6.226288407016254e-05
2011,17.5,129.1,0.05,-255.8,0.0001543336535396
2012,21.25,234.8,0.162,-1187.2,0.0001639961980968
2013,11.67,151.2,0.134,1778.4,0.0001265504417297
2014,16.51,39.4,0.147,219.6,9.799889992767064e-05
2015,21.45,250.6,0.014,689.7,0.0001129343893585
2016,13.51,348.7,0.079,,2.901295707634248e-05
2017,21.98,90.9,0.097,1236.5,0.0001349623300157
2018,5.91,52.3,0.104,758.1,1.244411037942602e-05
2019,23.94,33.1,0.115,-616.7,0.0001582761520782
2020,22.67,173.6,0.137,1906.2,3.898983914433596e-05
2021,13.37,169.4,0.121,-1868.1,2.4687537313587303e-05
2022,16.61,212.3,0.109,344.5,9.228786578984702e-05
2023,11.02,51.1,0.089,-1248.0,0.0001487080680681
2024,18.37,0.3,0.046,,4.11365502818918e-05
2025,19.59,137.2,0.091,-932.3,0.0001024194025516
2026,15.47,266.5,0.017,-1811.5,0.0001306983771636
2027,7.33,354.7,0.044,-309.9,4.13219837790027e-05
2028,18.51,34.2,0.167,-1605.0,8.677838229224712e-05
2029,20.13,159.8,0.13,,0.0001263130525219
2030,10.01,258.6,0.16,-141.7,9.299086633148316e-05
2031,23.62,256.2,0.124,-1686.1,6.782854647747937e-05
2032,6.73,1.9,0.099,,2.021890287740796e-05
2033,6.42,216.6,0.17,794.6,9.13911029346463e-05
2034,17.72,168.5,0.023,1305.5,8.532659997422322e-05
2035,18.73,72.9,0.166,224.8,0.0001533447677015
2036,19.99,192.3,0.113,-1707.7,9.989355044140437e-06
2037,22.67,92.6,0.034,1865.0,4.899721655010909e-05
2038,6.01,355.7,0.098,807.5,9.189663231044694e-06
2039,12.02,286.6,0.092,,6.674520330759037e-05
2040,15.68,279.7,0.117,960.7,2.840926940254083e-07
2041,16.91,78.1,0.075,-1905.8,0.0001300268026835
2042,23.94,198.6,0.072,-1311.2,0.0001274498053555
2043,12.07,352.0,0.178,,0.0001097866845845
2044,24.87,68.4,0.071,-454.7,8.968930201204832e-05
2045,16.66,128.7,0.068,-1316.7,3.825630970428612e-05
2046,8.65,105.1,0.08,,4.104913191520176e-05
2047,21.0,31.6,0.097,946.6,4.076025262516907e-05
2048,23.45,303.2,0.15,-381.6,0.0001084833439516
2049,19.59,311.1,0.079,-1254.4,4.623432323335546e-05
2050,17.34,3.0,0.099,,3.905387601908147e-06
2051,8.66,174.5,0.025,-1627.8,2.748572897146684e-05
2052,21.45,260.1,0.078,,0.0001102787391671
2053,7.79,70.2,0.124,-950.0,6.105199840222915e-05
2054,15.91,335.0,0.17,809.8,5.945777124144533e-05
2055,14.72,333.9,0.111,1582.8,0.0001179201279425
2056,19.46,68.6,0.055,1435.8,0.0001397781914631
2057,20.88,123.5,0.056,-675.1,2.023649166084072e-05
2058,16.02,111.8,0.036,-571.2,0.0001533400678392
2059,19.42,339.7,0.014,,2.002273143189304e-05
2060,10.44,190.0,0.035,-567.4,9.25013948949148e-05
2061,11.98,84.6,0.06,,0.0001127264217515
2062,23.01,294.9,0.112,-308.9,4.53775793539186e-05
2063,22.32,277.6,0.153,-521.6,0.0001052785466045
2064,21.08,17.3,0.127,413.4,0.0001008717631877
2065,22.48,228.6,0.063,,6.537222523952271e-05
2066,14.3,75.9,0.043,1357.5,9.637774285808696e-05
2067,16.41,31.5,0.026,-696.5,9.794550869046936e-05
2068,12.84,228.9,0.018,-1070.4,9.048333602561426e-05
2069,8.79,323.6,0.021,,0.0001607767555778
2070,6.1,336.1,0.075,-327.8,0.0001365540042972
2071,24.68,142.7,0.067,1123.6,9.489370617813428e-05
2072,8.08,193.7,0.129,-374.7,9.16433080060049e-05
2073,9.51,139.2,0.118,-896.9,0.0001304104312012
2074,18.41,223.6,0.101,,0.0001577038080709
2075,21.29,188.2,0.172,,0.0001588899474024
2076,14.47,180.0,0.067,,3.688973723676982e-05
2077,6.92,69.0,0.051,1959.0,0.0001500354871492
2078,20.79,30.4,0.138,-875.4,6.303680896535717e-05
2079,6.37,302.9,0.028,-430.5,3.036129983908555e-05
2080,9.9,260.9,0.108,853.1,5.23651863132411e-06
2081,22.71,44.0,0.143,-658.9,0.0001308784185236
2082,14.01,183.4,0.113,-1672.8,7.201884432459643e-05
2083,14.67,101.5,0.04,,2.232749114559947e-05
2084,21.42,229.3,0.09,-1055.9,0.0001047824412055
2085,8.46,8.9,0.12,-1036.7,7.878574955744916e-05
2086,7.74,220.3,0.04,,5.10364482054528e-05
2087,24.68,97.0,0.083,-152.9,1.038046290996932e-05
2088,13.11,99.7,0.023,1078.2,0.0001592959885032
2089,7.1,229.8,0.09,-401.4,3.35969405761656e-05
2090,12.17,88.3,0.153,,0.0001538430285632
2091,22.63,43.5,0.109,1837.2,0.0001500066705035
2092,20.86,218.0,0.076,-1383.0,8.808666540662622e-06
2093,12.62,37.0,0.176,-1218.6,0.0001140488467692
2094,18.6,187.3,0.045,305.4,9.054452554292108e-05
2095,15.83,43.2,0.056,1279.3,0.0001588411853755
2096,11.74,61.2,0.048,1425.8,6.360400610511532e-05
2097,24.81,147.1,0.084,-133.3,9.265442925271136e-05
2098,22.69,147.6,0.16,-714.7,2.701475428006955e-06
2099,9.26,117.5,0.131,1417.4,0.0001298036999361
2100,12.89,137.8,0.176,1999.7,5.0627867646045256e-05
2101,15.83,28.6,0.081,-397.6,2.85688356980341e-05
2102,9.15,266.2,0.106,-1902.5,0.0001555174466822
2103,10.32,10.0,0.115,909.0,7.171136495634842e-05
2104,23.49,283.3,0.077,-187.3,7.755953791768694e-05
2105,8.7,156.8,0.11,139.5,2.2298320052771143e-05
2106,16.51,285.7,0.029,,9.045469629523868e-05
2107,11.3,51.8,0.142,1250.3,0.000155599387701
2108,9.58,80.6,0.129,1531.3,0.0001479751903171
2109,17.79,305.0,0.165,,4.251443649277064e-05
2110,15.42,251.3,0.145,-703.1,1.0256105370340684e-05
2111,19.86,258.7,0.043,,0.000146091949004
2112,13.82,31.6,0.035,209.8,2.4623505670888085e-05
2113,7.88,95.3,0.141,-1504.9,1.103153385807955e-05
2114,5.46,203.4,0.01,-1313.0,5.146454328902203e-05
2115,13.45,312.0,0.051,-934.8,0.0001097022142182
2116,17.43,132.9,0.155,-834.7,7.678120558458978e-06
2117,18.34,290.4,0.08,,6.646104437489961e-05
2118,12.33,89.8,0.129,353.4,9.892794631509825e-05
2119,22.6,145.0,0.131,294.8,9.395482872300212e-05
2120,16.9,49.8,0.053,-1192.2,0.0001369355869503
2121,10.42,336.1,0.113,747.7,0.0001256059003251
2122,13.05,298.6,0.072,975.1,5.098310314110756e-05
2123,13.32,4.8,0.175,-1369.3,5.798099118588765e-06
2124,23.41,122.8,0.036,-788.5,7.97593763774584e-05
2125,16.27,189.7,0.063,-1493.8,7.987395867988263e-05
2126,17.55,19.1,0.144,-466.5,5.173003807575644e-05
2127,24.15,277.5,0.18,-511.9,0.0001336623814654
2128,17.5,286.4,0.163,,4.521342908505139e-05
2129,22.39,290.1,0.064,-1591.9,0.0001111641482267
2130,12.08,101.7,0.085,-1007.6,9.083298368052488e-05
2131,18.11,176.7,0.038,,0.0001457703523668
2132,18.2,63.9,0.137,1631.7,5.308580733263743e-05
2133,7.08,16.9,0.076,1798.7,8.331777222124771e-05
2134,9.07,312.0,0.12,1411.4,6.370265766353432e-05
2135,20.86,328.0,0.014,562.0,0.0001482993588404
2136,7.96,17.5,0.03,-380.3,0.0001030707447776
2137,6.89,48.4,0.093,-1840.9,6.76828762305267e-05
2138,19.56,354.8,0.115,1286.1,4.771383284214326e-05
2139,14.5,2.0,0.172,208.5,0.0001615591411092
2140,22.11,253.5,0.131,586.9,2.057275671231057e-05
2141,11.95,207.5,0.023,1334.5,9.09681381146856e-05
2142,24.68,260.7,0.128,1187.9,5.427889481914867e-05
2143,11.44,343.2,0.128,-368.1,0.0001617457800293
2144,10.54,310.8,0.175,,3.904821536963863e-05
2145,6.86,353.1,0.16,,0.000142854880217
2146,16.71,189.7,0.165,1752.8,0.0001326015437779
2147,15.22,56.8,0.057,-585.0,2.45749243405939e-05
2148,21.73,164.8,0.03,585.8,0.0001185060561323
2149,6.81,348.3,0.16,-1807.2,0.0001083216898794
2150,16.81,240.5,0.053,-1124.8,0.0001214524781714
2151,21.56,335.2,0.106,-1969.3,0.0001246507560853
2152,8.29,357.3,0.104,,2.501905948937188e-05
2153,14.14,173.0,0.139,500.5,0.0001108209077399
2154,22.78,130.3,0.167,-688.5,0.0001047099226533
2155,6.36,342.6,0.149,1464.2,6.229145595412276e-05
2156,5.83,301.1,0.16,-267.1,0.0001017238661747
2157,15.43,180.8,0.06,,1.3076563615017945e-05
2158,23.72,70.1,0.142,-174.0,1.4916190160420384e-05
2159,22.38,220.6,0.103,683.9,8.42263080747284e-05
2160,10.05,209.9,0.102,-1991.9,7.799240039766009e-05
2161,20.17,69.9,0.042,,0.0001006819316618
2162,5.45,277.4,0.025,-389.6,0.0001309307127639
2163,24.0,241.3,0.135,1201.1,0.0001636173845442
2164,19.95,282.0,0.146,1042.9,0.0001061616487631
2165,19.13,305.3,0.16,-1622.6,9.11699416306876e-05
2166,18.29,53.3,0.087,,5.516907902016314e-05
2167,15.69,165.0,0.149,1563.4,0.0001259220956159
2168,9.62,270.1,0.034,1726.8,2.000993719786981e-05
2169,10.29,42.0,0.021,-1031.4,0.0001390438752412
2170,17.85,197.6,0.129,-1187.6,2.898279519029656e-05
2171,16.49,34.4,0.112,-1985.1,4.623973749628746e-05
2172,8.95,190.8,0.124,449.2,5.068064835097358e-05
2173,11.2,209.1,0.016,622.4,3.662186181171729e-05
2174,6.31,183.7,0.041,,5.237725721133915e-05
2175,16.15,306.0,0.114,1398.9,8.723024434821219e-05
2176,14.54,32.4,0.125,181.1,8.707045393017519e-05
2177,6.46,185.9,0.173,,1.4744024356634404e-05
2178,6.56,7.5,0.024,,0.0001518986914194
2179,18.61,126.3,0.166,,6.568716419051131e-05
2180,11.84,147.4,0.041,,1.1775313270376211e-05
2181,10.06,15.8,0.104,-791.8,5.479478258448248e-05
2182,8.05,143.6,0.025,,0.0001176828074818
2183,6.64,130.1,0.069,707.9,2.249409849198198e-05
2184,6.24,81.1,0.032,-724.2,5.600458730417331e-05
2185,9.89,106.3,0.127,270.4,9.071197292162682e-06
2186,9.49,35.7,0.076,-403.1,2.8561930385576767e-05
2187,16.21,98.5,0.151,,2.4468957024595074e-06
2188,14.13,22.8,0.11,-1554.3,0.000165922168662
2189,12.39,182.1,0.035,-1832.8,5.213032426850973e-05
2190,5.16,310.2,0.16,1706.2,0.0001060187814512
2191,16.27,270.0,0.07,727.1,0.0001066024770343
2192,14.76,26.4,0.053,-1636.8,8.856304464240971e-05
2193,5.94,101.6,0.168,,6.340373457945483e-05
2194,11.15,178.7,0.134,-1994.0,7.004421203534258e-05
2195,22.21,307.2,0.071,1915.2,7.40456958993185e-06
2196,9.67,125.0,0.142,,0.0001197971288746
2197,13.53,213.3,0.01,-1135.1,9.361305933213348e-05
2198,11.78,44.7,0.095,,0.0001659593483458
2199,21.9,240.1,0.129,-360.2,8.30565826844104e-05
2200,24.72,30.6,0.152,-238.8,0.0001069032607374
2201,10.21,148.6,0.163,1691.0,0.0001504978650373
2202,23.5,78.3,0.039,640.5,0.0001470853425965
2203,23.73,170.7,0.132,-1224.7,5.5562760574037705e-05
2204,14.03,53.4,0.148,-112.5,1.1527030173246515e-05
2205,9.56,164.8,0.037,-962.2,0.000145139094484
2206,12.7,112.2,0.048,479.1,6.383671695773499e-05
2207,15.48,315.0,0.014,365.1,0.000162532688607
2208,23.23,334.2,0.042,1448.2,6.883074107028446e-05
2209,10.32,169.0,0.106,1009.4,0.0001499269649154
2210,22.38,61.8,0.128,-1155.0,8.099505859391441e-05
2211,7.81,26.8,0.034,-966.4,3.106651083804501e-05
2212,12.03,112.8,0.104,174.9,7.885411991149141e-05
2213,12.49,22.4,0.044,232.8,7.534388267369656e-05
2214,15.86,325.9,0.023,-1704.2,0.0001431834683056
2215,11.39,16.0,0.031,-1559.9,6.05714097421044e-05
2216,16.71,173.4,0.16,,0.0001599925971461
2217,5.45,63.7,0.033,648.5,9.439155200334676e-05
2218,5.28,68.0,0.102,,3.615155029843766e-05
2219,15.39,275.8,0.102,,0.0001607500947251
2220,8.91,235.9,0.076,,0.0001201220192824
2221,21.68,223.7,0.138,-327.6,4.488440880781384e-05
2222,23.88,285.4,0.171,,1.0849729263443074e-05
2223,21.66,216.7,0.054,794.9,0.0001647117743776
2224,23.51,247.6,0.156,1092.2,0.0001028351057921
2225,10.95,291.0,0.154,1982.4,0.0001262204679048
2226,24.2,287.4,0.105,1951.8,3.0244529117331184e-06
2227,15.12,285.3,0.049,1191.5,7.678342418248178e-05
2228,10.56,60.2,0.135,-1600.8,0.000124034974373
2229,9.52,183.2,0.055,716.4,0.0001315374865851
2230,7.89,19.2,0.127,-218.4,0.0001038220184518
2231,16.05,322.5,0.026,-1788.7,8.725983426792243e-05
2232,11.23,267.3,0.035,881.4,4.710609919723358e-05
2233,11.22,120.8,0.174,,6.309747590312865e-05
2234,9.61,187.9,0.139,,0.0001626985939742
2235,12.24,285.6,0.178,,9.775559675087255e-05
